assignment_id,staff_id,license_id,assigned_date
50001,20001,1,2024-08-15
50002,20001,5,2024-08-15
50003,20002,1,2024-08-15
50004,20003,1,2024-08-15
50005,20003,4,2024-08-15
50006,20003,6,2024-08-15
50007,20004,7,2024-08-15
50008,20005,1,2024-08-15
50009,20005,8,2024-08-15
50010,20006,6,2024-08-15
50011,20007,1,2024-08-15
50012,20007,3,2024-08-15
50013,20008,7,2024-08-15
50014,20009,1,2024-08-15
50015,20010,4,2024-08-15
50016,20011,1,2024-08-15
50017,20011,5,2024-08-15
50018,20012,1,2024-08-15
50019,20013,6,2024-08-15
50020,20014,7,2024-08-15
50021,20015,3,2024-08-15
50022,20016,3,2024-08-15
50023,20017,6,2024-08-15
50024,20018,7,2024-08-15
50025,20019,1,2024-08-15
50026,20020,4,2024-08-15